"序号","代码","名称","最新价","涨跌额","涨跌幅","成交量","成交额","总市值","买入价","卖出价","买量","卖量","今开","昨收","最高","最低","量比","委比","振幅%","市盈率","换手率%","涨跌速率%","5分钟涨跌幅","5日涨跌幅","10日涨跌幅","20日涨跌幅","60日涨跌幅","120日涨跌幅","250日涨跌幅","年初至今涨跌幅","所属行业"
"20","DOCS","Doximity","72.820","-0.780","-1.06%","2853608","208522560","13639146604.38","62.560","72.990","100","15","73.880","73.600","74.480","72.780","2.21","73.91%","2.31","65.603","2.14","-0.02","-0.75%","2.52%","5.02%","13.55%","21.02%","24.46%","79.23%","36.39%","健康信息服务"
"21","DH","Definitive Healthcare","4.210","-0.070","-1.64%","900110","3785448","438202944.1","3.350","5.100","100","100","4.280","4.280","4.310","4.050","3.08","0.00%","6.07","-1.189","2.34","-0.48","1.08%","1.45%","5.25%","11.67%","9.64%","43.20%","-12.47%","2.43%","健康信息服务"
"22","TXG","10x Genomics","13.040","-0.230","-1.73%","3263328","42653502","1623354033.6","12.810","13.360","22","500","13.220","13.270","13.310","12.850","1.28","-91.57%","3.47","-8.578","2.98","0.00","-0.46%","3.16%","-6.59%","-0.46%","11.84%","42.36%","-44.46%","-9.19%","健康信息服务"
"23","BFLY","Butterfly Network","1.850","-0.040","-2.12%","15350723","29708440","465721016.5","1.900","1.920","2625","1052","2.100","1.890","2.130","1.845","3.21","42.78%","15.08","-5.441","7.97","0.27","-1.86%","17.83%","18.59%","33.09%","-6.09%","-21.94%","-3.65%","-40.71%","医疗设备"
"24","MOH","Molina Healthcare","175.140","-4.570","-2.54%","2064296","363110130","9492588000","166.810","195.450","5","1","179.000","179.710","180.480","174.830","2.27","66.67%","3.14","8.576","3.86","0.01","-0.57%","-3.17%","0.28%","1.34%","-40.46%","-45.75%","-49.95%","-39.82%","医疗计划"
"25","ABSI","Absci Corp","2.610","-0.080","-2.97%","8735933","23067469","390254108.67","2.640","2.650","407","300","2.700","2.690","2.750","2.600","2.04","15.13%","5.58","-2.776","6.61","0.57","-0.62%","2.35%","6.10%","1.95%","-5.43%","-3.33%","-39.44%","-0.38%","生物技术"
"26","BEAM","Beam Therapeutics","24.320","-0.780","-3.11%","4271034","105277120","2460260472.32","24.320","24.480","399","100","25.390","25.100","25.691","24.110","1.41","59.92%","6.30","-5.310","4.75","-0.23","-0.21%","18.06%","16.48%","51.91%","45.11%","9.50%","-6.61%","-1.94%","生物技术"
"27","TDOC","Teladoc Health","7.950","-0.310","-3.75%","6329100","50744555","1404690762.9","7.920","7.930","100","100","8.300","8.260","8.300","7.900","1.61","0.00%","4.84","-1.354","3.62","0.00","0.38%","3.52%","1.66%","10.57%","5.02%","-1.73%","-13.40%","-12.54%","健康信息服务"
"28","ABCL","AbCellera Biologics","4.510","-0.210","-4.45%","5965311","27433954","1347736437.63","4.510","4.520","392","999","4.680","4.720","4.750","4.490","1.49","-43.64%","5.51","-8.199","2.94","0.89","0.00%","0.89%","6.87%","4.88%","18.68%","95.24%","64.60%","53.92%","生物技术"
"29","NNOX","Nano X Imaging","3.970","-0.190","-4.57%","1642106","6656288","253840291.4","3.960","4.140","109","100","4.190","4.160","4.200","3.960","1.47","4.31%","5.77","-4.362","2.69","-0.13","-0.63%","1.66%","7.59%","-1.00%","-24.38%","-24.09%","-37.28%","-44.86%","医疗设备"
"30","BIOA","BioAge Labs","4.900","-0.320","-6.13%","700303","3465350","175665181.3","4.720","5.750","300","100","5.220","5.220","5.290","4.880","3.41","50.00%","7.85","-2.469","2.94","0.00","-2.00%","2.08%","2.94%","8.89%","14.49%","28.27%","-72.78%","-15.37%","专业与通用药品制造商"
