"序号","代码","名称","最新价","涨跌额","涨跌幅","成交量","成交额","总市值","买入价","卖出价","买量","卖量","今开","昨收","最高","最低","量比","委比","振幅%","市盈率","换手率%","涨跌速率%","5分钟涨跌幅","5日涨跌幅","10日涨跌幅","20日涨跌幅","60日涨跌幅","120日涨跌幅","250日涨跌幅","年初至今涨跌幅","所属行业"
"1","HOOD","Robinhood","124.780","+3.870","3.20%","202388423","25191260120","110888878104.54","123.280","123.400","597","1000","121.700","120.910","125.180","121.000","5.26","-25.23%","3.46","79.987","26.71","0.21","0.14%","8.48%","23.24%","17.38%","50.79%","197.66%","447.04%","234.89%","资本市场"
"2","CRCL","Circle","144.140","+3.720","2.65%","16115641","2314741938","33233639676.56","137.850","138.300","2","50","145.050","140.420","147.700","139.530","1.06","-92.31%","5.82","197.452","17.77","-0.38","-0.23%","15.02%","25.82%","9.36%","-27.43%","364.97%","364.97%","364.97%","资本市场"
"3","COIN","Coinbase","342.460","-0.670","-0.20%","13272061","4546444083","87991041246.22","329.460","329.900","100","36","342.760","343.130","349.700","337.660","1.39","47.06%","3.51","36.124","6.46","-0.17","-0.42%","6.01%","14.51%","14.05%","-3.63%","96.90%","103.55%","37.92%","金融数据与证券交易所"
"4","FI","费哲金融服务","131.800","-1.070","-0.81%","10594018","1397519605","71645581124","131.740","144.500","30","100","133.370","132.870","133.370","131.390","3.41","-53.85%","1.49","24.498","1.96","-0.03","-0.28%","-1.88%","-2.41%","-5.86%","-22.63%","-39.02%","-26.28%","-35.84%","信息技术服务"
"5","MPU","Mega Matrix","1.450","-0.150","-9.38%","3825492","5709384","83512812.35","1.370","1.720","100","100","1.610","1.600","1.610","1.430","1.84","0.00%","11.25","-6.304","7.42","-0.34","-0.34%","-7.64%","-18.08%","-46.30%","47.96%","130.16%","16.00%","4.32%","娱乐"
