"序号","代码","名称","最新价","涨跌额","涨跌幅","成交量","成交额","总市值","买入价","卖出价","买量","卖量","今开","昨收","最高","最低","量比","委比","振幅%","市盈率","换手率%","涨跌速率%","5分钟涨跌幅","5日涨跌幅","10日涨跌幅","20日涨跌幅","60日涨跌幅","120日涨跌幅","250日涨跌幅","年初至今涨跌幅","所属行业"
"31","ESTC","Elastic","89.180","-0.460","-0.51%","2577659","229422335","9477242429.2","88.120","88.800","55","91","90.000","89.640","90.490","87.295","1.45","-24.66%","3.56","-85.750","2.77","-0.19","0.06%","1.87%","2.85%","14.94%","10.13%","-2.73%","16.88%","-9.99%","应用软件"
"32","CFLT","Confluent","20.050","-0.140","-0.69%","7759416","155438165","6912119646.1","19.940","20.040","45","41","20.180","20.190","20.315","19.755","1.39","4.65%","2.77","-18.738","2.76","-0.42","-0.45%","4.21%","3.67%","16.03%","-16.07%","-17.59%","-2.95%","-28.29%","软件基础设施"
"33","SAP","SAP SE","266.910","-2.830","-1.05%","1670964","447782312","310844515563.12","263.830","264.050","400","200","269.250","269.740","269.675","266.810","0.57","33.33%","1.06","85.767","0.17","-0.13","-0.18%","3.79%","-0.78%","-0.85%","-8.99%","0.49%","17.62%","9.39%","应用软件"
"34","DOCS","Doximity","72.820","-0.780","-1.06%","2853608","208522560","13639146604.38","62.560","72.990","100","15","73.880","73.600","74.480","72.780","2.21","73.91%","2.31","65.603","2.14","-0.02","-0.75%","2.52%","5.02%","13.55%","21.02%","24.46%","79.23%","36.39%","健康信息服务"
"35","BRZE","Braze","32.040","-0.350","-1.08%","4094857","131144431","3565002145.32","32.250","32.350","30","10","32.430","32.390","32.600","31.710","1.65","50.00%","2.75","-31.411","5.04","0.02","0.03%","6.30%","1.97%","25.47%","20.91%","-14.58%","-11.95%","-23.50%","应用软件"
"36","ASAN","阿莎娜","14.200","-0.170","-1.18%","4298335","61107158","3354706335","13.950","14.500","15","100","14.500","14.370","14.500","14.095","1.25","-73.91%","2.82","-12.792","4.96","0.04","0.04%","7.49%","5.50%","3.65%","9.82%","-4.57%","13.24%","-29.95%","应用软件"
"37","CLBT","Cellebrite","17.610","-0.260","-1.45%","1577174","27802961","4305100956.66","17.010","17.890","32","32","17.850","17.870","17.950","17.360","1.08","0.00%","3.30","-13.044","1.40","-0.03","-0.14%","4.82%","6.02%","10.69%","8.44%","-9.51%","0.97%","-20.06%","软件基础设施"
"38","TWLO","Twilio","106.500","-1.880","-1.73%","6576330","701065252","16340679039","105.350","106.490","6","7","108.600","108.380","108.600","105.721","2.09","-7.69%","2.66","-161.363","4.48","-0.08","-0.29%","4.08%","-2.00%","5.48%","-11.12%","7.60%","70.05%","-1.46%","软件基础设施"
"39","FIG","Figma Inc","56.810","-1.600","-2.74%","10658524","605220341","27824078096.62","55.750","56.300","59","500","59.370","58.410","59.490","55.240","1.14","-78.89%","7.28","-37.822","28.86","-0.16","0.05%","7.05%","3.55%","-21.92%","72.15%","72.15%","72.15%","72.15%","应用软件"
"40","ZM","Zoom通讯","84.160","-2.670","-3.07%","5931592","500695897","25188192874.24","82.300","85.000","200","5","86.900","86.830","87.170","84.030","2.13","95.12%","3.62","26.218","2.25","-0.14","-0.36%","0.21%","0.57%","15.02%","9.84%","12.45%","25.78%","3.12%","应用软件"
"41","FSLY","Fastly","8.630","-0.320","-3.58%","14508498","125403316","1272062000","8.400","8.600","100","200","8.930","8.950","8.950","8.510","2.80","-33.33%","4.92","-7.570","10.62","0.23","0.00%","11.64%","16.15%","19.36%","25.99%","32.57%","20.70%","-8.58%","应用软件"
