"序号","代码","名称","最新价","涨跌额","涨跌幅","成交量","成交额","总市值","买入价","卖出价","买量","卖量","今开","昨收","最高","最低","量比","委比","振幅%","市盈率","换手率%","涨跌速率%","5分钟涨跌幅","5日涨跌幅","10日涨跌幅","20日涨跌幅","60日涨跌幅","120日涨跌幅","250日涨跌幅","年初至今涨跌幅","所属行业"
"21","CEP","Cantor Equity Partners Inc","22.340","+0.280","1.27%","315307","7152913","285952000","18.560","0.000","20","0","22.380","22.060","23.074","22.203","1.69","100.00%","3.95","186.166","5.00","-1.24","-1.65%","6.00%","10.05%","-9.00%","-25.90%","109.18%","123.40%","115.01%","空壳公司"
"22","KULR","KULR Technology","4.800","+0.060","1.27%","2939999","14316699","197321006.4","4.680","5.200","25","100","4.750","4.740","5.079","4.730","2.08","-60.00%","7.37","-6.666","7.69","-0.21","-1.64%","6.67%","18.52%","1.91%","-7.87%","-58.90%","120.83%","-83.10%","电子元件"
"23","CLSK","CleanSpark","13.620","+0.160","1.19%","47361377","650198334","3828355662.84","13.000","13.020","500","300","13.330","13.460","14.050","13.190","1.46","25.00%","6.39","-19.739","17.26","-0.04","-0.11%","31.59%","47.40%","45.98%","28.49%","89.43%","54.07%","47.88%","资本市场"
"24","STSS","Sharps Technology","8.160","+0.070","0.87%","403327","3256072","216268870.08","7.510","8.300","125","1","8.130","8.090","8.250","7.850","0.51","98.41%","4.94","-0.003","1.52","-0.49","0.00%","-10.53%","-24.02%","29.01%","51.39%","-35.70%","-99.48%","-98.68%","医疗设备和用品"
"25","GME","游戏驿站","26.080","+0.200","0.77%","9567601","249285357","11675141902.72","26.020","26.050","319","100","25.830","25.880","26.389","25.790","1.06","52.27%","2.31","79.030","2.34","0.01","0.06%","4.61%","15.35%","15.60%","10.74%","20.02%","33.68%","-16.78%","专业零售"
"26","SBET","SharpLink Gaming","17.330","+0.110","0.64%","29627588","513792299","3346920786.92","16.300","16.390","287","5000","16.880","17.220","17.840","16.756","1.30","-89.14%","6.30","0.630","15.37","-0.08","-0.57%","-2.09%","16.04%","-3.94%","68.58%","434.68%","115.55%","124.18%","博彩"
"27","ETOR","eToro Group","44.150","+0.220","0.50%","908956","40027585","3695531070.2","42.610","47.850","100","100","44.380","43.930","44.440","43.600","1.45","0.00%","1.91","18.558","6.63","0.02","-0.06%","0.02%","-4.85%","-1.32%","-32.09%","-15.10%","-15.10%","-15.10%","资本市场"
"28","BTBT","Bit Digital","3.120","0.000","0.00%","65925197","206351058","1002870092.64","2.960","2.970","6369","1746","3.150","3.120","3.210","3.070","3.00","56.97%","4.49","16.421","20.88","0.00","-0.16%","5.05%","24.30%","14.71%","32.77%","48.57%","2.30%","6.48%","资本市场"
"29","COIN","Coinbase","342.460","-0.670","-0.20%","13272061","4546444083","87991041246.22","329.400","329.770","48","36","342.760","343.130","349.700","337.660","1.39","14.29%","3.51","36.124","6.46","-0.17","-0.42%","6.01%","14.51%","14.05%","-3.63%","96.90%","103.55%","37.92%","金融数据与证券交易所"
"30","RIOT","Riot Platforms","17.460","-0.050","-0.29%","43344987","772147112","6453620722.8","16.830","16.840","100","300","17.500","17.510","18.240","17.350","1.04","-50.00%","5.08","51.352","12.60","0.09","-0.71%","9.88%","31.38%","42.30%","74.60%","135.63%","141.83%","71.01%","资本市场"
"31","BTCM","BIT Mining","2.850","-0.010","-0.35%","256734","733287","50845222.65","2.700","2.900","50","215","2.910","2.860","2.910","2.810","0.52","-62.26%","3.50","2.850","1.60","0.70","-1.04%","-4.36%","9.20%","-6.56%","43.22%","59.22%","26.11%","13.10%","信息技术服务"
"32","GLXY","Galaxy Digital","32.870","-0.210","-0.63%","8004401","261234328","5666828857.41","31.360","31.600","200","5","32.330","33.080","33.080","31.800","0.86","95.12%","3.87","33.540","4.79","-0.30","-0.41%","10.67%","39.93%","37.59%","69.43%","44.17%","44.17%","44.17%","资本市场"
"33","SMLR","Semler Scientific","29.180","-0.310","-1.05%","1306277","38024911","432000941.74","25.840","29.850","100","50","28.850","29.490","29.520","28.380","1.90","33.33%","3.87","5.688","10.05","-0.28","0.03%","-0.03%","3.77%","-3.06%","-28.90%","-20.84%","19.25%","-45.96%","医疗设备"
"34","ICG","聪链集团","1.870","-0.020","-1.06%","80402","151035","113297553.49","1.870","2.110","1","100","1.900","1.890","1.931","1.850","0.63","-98.02%","4.26","15.454","0.63","0.48","0.00%","0.54%","5.65%","-4.59%","10.65%","-36.18%","-75.62%","-43.33%","半导体"
