"序号","代码","名称","最新价","涨跌额","涨跌幅","成交量","成交额","总市值","买入价","卖出价","买量","卖量","今开","昨收","最高","最低","量比","委比","振幅%","市盈率","换手率%","涨跌速率%","5分钟涨跌幅","5日涨跌幅","10日涨跌幅","20日涨跌幅","60日涨跌幅","120日涨跌幅","250日涨跌幅","年初至今涨跌幅","所属行业"
"1","IRM","铁山","99.890","+0.970","0.98%","3124264","311736741","29502334195.25","91.000","111.660","100","100","99.340","98.920","100.660","98.490","2.05","0.00%","2.19","163.754","1.07","-0.14","-0.48%","4.16%","9.25%","11.22%","-1.92%","19.26%","-9.68%","-2.56%","专业REITs"
"2","EQIX","易昆尼克斯","791.250","+5.950","0.76%","1214695","960415765","77434878922.5","767.010","791.000","11","4","791.835","785.300","795.999","782.190","2.76","46.67%","1.76","93.088","1.25","0.10","-0.10%","0.33%","2.27%","2.47%","-3.43%","-0.33%","-7.19%","-14.67%","专业REITs"
"3","DLR","数字房地产信托公司","172.080","+0.720","0.42%","3146557","541594462","58687958854.8","148.150","188.870","100","100","171.560","171.360","173.320","170.690","2.00","0.00%","1.53","106.881","0.99","-0.15","-0.49%","-0.12%","6.16%","5.81%","0.61%","22.80%","11.47%","-0.76%","专业REITs"
"4","NVDA","英伟达","176.670","+0.430","0.24%","237182143","41859203337","4293081000000","175.150","175.170","130","218","175.770","176.240","178.080","175.180","1.45","-25.29%","1.65","60.091","1.01","-0.16","0.20%","-0.65%","5.78%","0.97%","14.50%","61.11%","49.93%","31.59%","半导体"
"5","GDS","万国数据","38.960","-0.040","-0.10%","2183099","85126560","7806711763.52","39.550","39.870","190","566","39.300","39.000","39.905","38.650","0.58","-49.74%","3.22","15.266","1.61","0.18","0.05%","1.96%","17.46%","21.75%","35.61%","54.42%","103.13%","63.97%","信息技术服务"
"6","AMD","美国超微公司","157.390","-0.530","-0.34%","55448076","8730712350","255419368211.71","155.700","155.990","82","250","157.380","157.920","159.840","155.900","1.16","-50.60%","2.49","157.389","3.46","-0.11","0.14%","-0.74%","4.14%","-3.86%","9.76%","52.48%","0.41%","30.30%","半导体"
"7","MCHP","微芯科技","65.150","-1.110","-1.68%","13348425","868535227","35160130305.05","64.050","65.150","34","33","66.310","66.260","66.500","63.870","1.84","1.49%","3.97","-6515.000","2.53","-0.09","-0.22%","0.70%","-1.17%","-0.75%","-8.38%","35.75%","-14.93%","16.14%","半导体"
"8","VNET","世纪互联","9.630","-0.320","-3.22%","8446873","81072506","2590719426.63","9.600","10.000","100","80","9.610","9.950","10.020","9.370","0.99","11.11%","6.53","566.470","5.89","-0.36","0.21%","0.63%","21.90%","31.20%","60.50%","16.73%","200.00%","103.16%","信息技术服务"
"9","INTC","英特尔","29.580","-0.990","-3.24%","225702854","6741335290","138146335584.12","29.140","29.150","417","848","30.380","30.570","30.630","29.330","1.43","-34.07%","4.25","-6.753","4.84","-0.05","-0.22%","22.84%","20.78%","25.87%","33.24%","30.25%","39.92%","47.53%","半导体"
